Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,2,Incorrect,1
Basic Problem B-04,2,Incorrect,3
Basic Problem B-05,6,Incorrect,4
Basic Problem B-06,4,Incorrect,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,5,Incorrect,6
Basic Problem B-09,1,Incorrect,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,3,Incorrect,1
Basic Problem B-12,3,Incorrect,1
Challenge Problem B-01,5,Incorrect,6
Challenge Problem B-02,3,Incorrect,1
Challenge Problem B-03,2,Incorrect,3
Challenge Problem B-04,2,Incorrect,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,4,Incorrect,3
Challenge Problem B-07,6,Correct,6
Challenge Problem B-08,2,Incorrect,4
Challenge Problem B-09,3,Incorrect,4
Challenge Problem B-10,6,Incorrect,4
Challenge Problem B-11,4,Incorrect,5
Challenge Problem B-12,3,Incorrect,1
